git Project Name,Commit URL,Message
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/947f7e8cb72478674c1a18ed361e29748a69af86,"""Disable exponential stepping in synthetic scenes (aabb=1) by default

- Makes only a small performance difference (~20%) and matches original NeRF behavior. Remove the need for --nerf_compatibility when wanting to draw rough parallels to original NeRF.
- Also adds a GUI slider to adjust cone tracing angle live."""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/59943f47e1fcf2f39092c188d3211afd54943268,"""Use row-major encoding when possible to improve perf and memory"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/299afdfc0ab300d8518bd489feae07eb4e251328,"""Significant memory reduction through TCNN's new arena"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/ae9ceb319066fbd93223f1d46acaea5e6bd396a7,"""Regularize extrinsics optimization less by default"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/bc52f44629d1e624ab581339a61b6cd41654e116,"""Decentralize network dims again"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/fed242e6a3a92876eda58a4af0844499e1a6850b,"""Speed up NeRF by 10-20% through SoA dir encoding"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/2f2ba36f8e21a7feead3632a89c7b054b5cdc1fe,"""Optimize SDF & NeRF through SoA memory layout"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/af9434ec4d3861cfe22abe45b44e363f1c604103,"""Fix camera direction optimization"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/7b37eee0aa9ea31362d2a5a799e007a731de385c,"""Base extrinsics optimization LR decay on the respective optimizer's step count rather than the global one

Gradually growing datasets thus allow extrinsics learning of new images while old ones stay put"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/ad31b9d2289582bafc0e07f3465f070de8dd1134,"""Avoid redundant computation due to auto+Eigen"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/78b4946896f69febe0c1a62e4996e35d0b2989ef,"""Fix broken extrinsics optimization"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/aadc30f62b8cbf4e43a8779ec65b375a4046ad07,"""Nicer position visualization"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/2b825d383e11655f46786bc0a67fd0681bfceb60,"""Significantly more effective floater suppression with `near_distancle`"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/7926827277aff9c2ca57f3ef8d3b9e9af27325b9,"""Robustness to Windows paths on Linux"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/5b5cf800a5813ff36e9c071a44c5ad8d59d4399f,"""Exposure density range parameter when saving a density grid to PNG"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/874fb54f1ac6c7de28f56c6f058140b0fef65c49,"""Allow quantizing image MSE computation"""
