repo_owner,repo_name,issue_number,pr_url,commit_url
epam,Indigo,1802,https://github.com/epam/Indigo/pull/1860,https://github.com/epam/Indigo/commit/03524f619c34eec3b21e9f07e5f120ff41150f0e
sandialabs,Albany,519,https://github.com/sandialabs/Albany/pull/522,https://github.com/sandialabs/Albany/commit/ac9d7d8d0c0aa90a4b1ce16888f582a96f447b8d
sandialabs,Albany,523,https://github.com/sandialabs/Albany/pull/524,https://github.com/sandialabs/Albany/commit/1272de6443e42c5e59e19cfee6288297c3eceb10
sandialabs,Albany,585,https://github.com/sandialabs/Albany/pull/632,https://github.com/sandialabs/Albany/commit/8682dcafc82ffe0566cf33a3d0c294361dcd8fdc
kokkos,kokkos-kernels,2067,https://github.com/kokkos/kokkos-kernels/pull/2073,https://github.com/kokkos/kokkos-kernels/commit/cb24a0d477a35e20eabc321985e14d720788c120
kokkos,kokkos-kernels,2068,https://github.com/kokkos/kokkos-kernels/pull/2074,https://github.com/kokkos/kokkos-kernels/commit/272807196b3c14f602bdc08f3acd076b1af422f0
glotzerlab,freud,420,https://github.com/glotzerlab/freud/pull/1169,https://github.com/glotzerlab/freud/commit/066c366fdb2c0675b4682b595dbcc5a90745705a
Framstag,libosmscout,1228,https://github.com/Framstag/libosmscout/pull/1229,https://github.com/Framstag/libosmscout/commit/3508568b620aa2ea59582486e08f86b5f6a733b6
KeyviDev,keyvi,71,https://github.com/KeyviDev/keyvi/pull/84,https://github.com/KeyviDev/keyvi/commit/a1207eb75e6f9c88c1ca87f0e27d55d16b7ff778
ros2,rosbag2,436,https://github.com/ros2/rosbag2/pull/261,https://github.com/ros2/rosbag2/commit/1d245cbe054c4f877914b67d8f76063772d96f8d
Eyescale,Equalizer,130,https://github.com/Eyescale/Equalizer/pull/585,https://github.com/Eyescale/Equalizer/commit/a861ba22e4062c036caee14e3373c30d5903338e
espressomd,espresso,4752,https://github.com/espressomd/espresso/pull/4757,https://github.com/espressomd/espresso/commit/39a5824477b225bc8c8656e2f603c5dc7254fd81
openturns,openturns,1958,https://github.com/openturns/openturns/pull/1961,https://github.com/openturns/openturns/commit/c5f2c2f799cbf162dcb408188bf096ccc6063464
IDI-Systems,acre2,217,https://github.com/IDI-Systems/acre2/pull/241,https://github.com/IDI-Systems/acre2/commit/f25c24cc67155c3aa30261200a49a83c7629ddd4
boostorg,thread,111,https://github.com/boostorg/thread/pull/189,https://github.com/boostorg/thread/commit/609d1a7be0c96426a1d379b4faf1c6a050b3f1d4
aregtech,areg-sdk,74,https://github.com/aregtech/areg-sdk/pull/83,https://github.com/aregtech/areg-sdk/commit/09662604b32d708798061b2a046490164ed309ba
OpenKneeboard,OpenKneeboard,108,https://github.com/OpenKneeboard/OpenKneeboard/pull/458,https://github.com/OpenKneeboard/OpenKneeboard/commit/ec5f676c4b670753a32818c2e59952cc1a44b075
OpenKneeboard,OpenKneeboard,108,https://github.com/OpenKneeboard/OpenKneeboard/pull/298,https://github.com/OpenKneeboard/OpenKneeboard/commit/f5676021f101a6d7aa86e8dc822b399bb821dda9
OpenKneeboard,OpenKneeboard,114,https://github.com/OpenKneeboard/OpenKneeboard/pull/458,https://github.com/OpenKneeboard/OpenKneeboard/commit/ec5f676c4b670753a32818c2e59952cc1a44b075
OpenKneeboard,OpenKneeboard,114,https://github.com/OpenKneeboard/OpenKneeboard/pull/298,https://github.com/OpenKneeboard/OpenKneeboard/commit/f5676021f101a6d7aa86e8dc822b399bb821dda9
OpenKneeboard,OpenKneeboard,255,https://github.com/OpenKneeboard/OpenKneeboard/pull/442,https://github.com/OpenKneeboard/OpenKneeboard/commit/b66a36ee8e3dd6d2cf8cceb11944d16965a74561
OpenKneeboard,OpenKneeboard,255,https://github.com/OpenKneeboard/OpenKneeboard/pull/439,https://github.com/OpenKneeboard/OpenKneeboard/commit/f90076657d12b083d8e564cae18ec706a6e01cc5
OpenKneeboard,OpenKneeboard,255,https://github.com/OpenKneeboard/OpenKneeboard/pull/441,https://github.com/OpenKneeboard/OpenKneeboard/commit/ec6ce2e48a3d16152bec118b36db3a4335a86c70
OpenKneeboard,OpenKneeboard,255,https://github.com/OpenKneeboard/OpenKneeboard/pull/435,https://github.com/OpenKneeboard/OpenKneeboard/commit/bd55a76f6b65c4c805fab6f4b86f6c2436dd8864
OpenKneeboard,OpenKneeboard,265,https://github.com/OpenKneeboard/OpenKneeboard/pull/442,https://github.com/OpenKneeboard/OpenKneeboard/commit/b66a36ee8e3dd6d2cf8cceb11944d16965a74561
OpenKneeboard,OpenKneeboard,265,https://github.com/OpenKneeboard/OpenKneeboard/pull/444,https://github.com/OpenKneeboard/OpenKneeboard/commit/08e1a7b0f16aa93bfb8af46c5fcdffa34b83b2ea
OpenKneeboard,OpenKneeboard,280,https://github.com/OpenKneeboard/OpenKneeboard/pull/471,https://github.com/OpenKneeboard/OpenKneeboard/commit/a33bc097f7bd88541ef54274343249dc17d8d953
OpenKneeboard,OpenKneeboard,280,https://github.com/OpenKneeboard/OpenKneeboard/pull/468,https://github.com/OpenKneeboard/OpenKneeboard/commit/2672065374c2c923647056ce50ad90459687b619
OpenKneeboard,OpenKneeboard,280,https://github.com/OpenKneeboard/OpenKneeboard/pull/462,https://github.com/OpenKneeboard/OpenKneeboard/commit/ef8a8b57a802503dbc24db561d170ff149accb37
